Season,Rank,TeamID,Team,Conference
2001,1,1610612751,Nets,East
2001,1,1610612758,Kings,West
2001,2,1610612765,Pistons,East
2001,2,1610612759,Spurs,West
2001,3,1610612747,Lakers,West
2001,3,1610612738,Celtics,East
2001,4,1610612742,Mavericks,West
2001,4,1610612766,Hornets,East
2001,5,1610612750,Timberwolves,West
2001,5,1610612753,Magic,East
2001,6,1610612755,76ers,East
2001,6,1610612757,Trail Blazers,West
2001,7,1610612760,SuperSonics,West
2001,7,1610612761,Raptors,East
2001,8,1610612754,Pacers,East
2001,8,1610612762,Jazz,West
2001,9,1610612746,Clippers,West
2001,9,1610612749,Bucks,East
2001,10,1610612764,Wizards,East
2001,10,1610612756,Suns,West
2001,11,1610612745,Rockets,West
2001,11,1610612748,Heat,East
2001,12,1610612743,Nuggets,West
2001,12,1610612737,Hawks,East
2001,13,1610612752,Knicks,East
2001,13,1610612763,Grizzlies,West
2001,14,1610612739,Cavaliers,East
2001,14,1610612744,Warriors,West
2001,15,1610612741,Bulls,East
2002,1,1610612759,Spurs,West
2002,1,1610612765,Pistons,East
2002,2,1610612758,Kings,West
2002,2,1610612751,Nets,East
2002,3,1610612754,Pacers,East
2002,3,1610612742,Mavericks,West
2002,4,1610612755,76ers,East
2002,4,1610612750,Timberwolves,West
2002,5,1610612740,Hornets,East
2002,5,1610612747,Lakers,West
2002,6,1610612757,Trail Blazers,West
2002,6,1610612738,Celtics,East
2002,7,1610612762,Jazz,West
2002,7,1610612749,Bucks,East
2002,8,1610612753,Magic,East
2002,8,1610612756,Suns,West
2002,9,1610612745,Rockets,West
2002,9,1610612764,Wizards,East
2002,10,1610612752,Knicks,East
2002,10,1610612760,SuperSonics,West
2002,11,1610612737,Hawks,East
2002,11,1610612744,Warriors,West
2002,12,1610612741,Bulls,East
2002,12,1610612763,Grizzlies,West
2002,13,1610612746,Clippers,West
2002,13,1610612748,Heat,East
2002,14,1610612743,Nuggets,West
2002,14,1610612761,Raptors,East
2002,15,1610612739,Cavaliers,East
2003,1,1610612754,Pacers,East
2003,1,1610612750,Timberwolves,West
2003,2,1610612751,Nets,East
2003,2,1610612747,Lakers,West
2003,3,1610612765,Pistons,East
2003,3,1610612759,Spurs,West
2003,4,1610612758,Kings,West
2003,4,1610612748,Heat,East
2003,5,1610612740,Hornets,East
2003,5,1610612742,Mavericks,West
2003,6,1610612749,Bucks,East
2003,6,1610612763,Grizzlies,West
2003,7,1610612745,Rockets,West
2003,7,1610612752,Knicks,East
2003,8,1610612738,Celtics,East
2003,8,1610612743,Nuggets,West
2003,9,1610612762,Jazz,West
2003,9,1610612739,Cavaliers,East
2003,10,1610612757,Trail Blazers,West
2003,10,1610612761,Raptors,East
2003,11,1610612755,76ers,East
